student_id,pas_cas,zylabs,exam1,exam2,exam3,final_exam
1,"1,142.00","1,111.00",99,87,63.5,86
2,"1,143.00","1,111.00",84.7,81.4,59,74.5
3,"1,144.00","1,111.00",84.5,82,58,73.5
4,"1,144.00","1,094.00",87.2,86.9,42.5,74
5,"1,144.00","1,098.00",77.5,74.25,47.5,75
6,"1,131.00","1,043.00",77.2,79.9,47,68.5
7,"1,144.00","1,083.00",81.7,63.4,46.5,49
8,"1,095.00","1,011.00",82.5,64,48,56
9,"1,131.00","1,063.00",71.2,68.8,47.75,47
10,"1,144.00","1,111.00",57.5,56.4,34.5,56
11,"1,141.00","1,086.00",64.5,57.4,36,52
12,"1,063.00",784,86,48,47,51.5
13,954,856,72.5,64,39.25,56.5
14,"1,118.00","1,065.00",56.2,36.4,31,31
15,"1,067.00",760,69,43.9,36,34
16,"1,104.00",893,47.5,42,28,31
17,"1,144.00","1,111.00",96.5,88,66,89.5
18,"1,143.00","1,111.00",95.5,93,65.5,87
19,"1,144.00","1,111.00",100,88,63.5,87
20,"1,142.00","1,109.00",91,90,62.25,87
21,"1,144.00","1,109.00",86.5,83,53.5,79
22,"1,122.00","1,094.00",96.7,81.25,54.5,75.5
23,"1,144.00","1,109.00",87.7,77,53.75,76.5
24,"1,144.00","1,109.00",79,74,61.25,71
25,"1,144.00","1,100.00",80.2,74.5,53,69
26,"1,144.00","1,107.00",83.7,72,53.5,61
27,"1,133.00","1,047.00",86.25,75.8,48.75,61
28,"1,144.00","1,104.00",81,66.9,45,46
29,"1,143.00","1,079.00",75.2,51.5,45,53
30,"1,144.00","1,084.00",77.7,45.5,26.5,65
31,"1,066.00",844,73.7,72.4,33.5,62
32,"1,144.00","1,038.00",76.1,58,39.5,41
33,"1,131.00",963,55.4,53.5,48,44
34,"1,090.00",996,34.9,36.5,51.25,30
35,"1,111.00",983,51.8,40,27,25
36,"1,066.00",917,52.2,23.9,25,16.5
37,812,801,45.1,44.4,29,29
38,834,966,38,29,16,17
39,566,182,21.2,15,11,7.5
